,,,,,Name,G9TQQ5YA-Ri7421B_DPVP_Verify_CF2_2021-11-30T19-21-46
Result Number,Result Name,Units,U Limit,L Limit
1,Dummy,Amps,,,,3.73147141e-08
2,V Force@MsrVFrc:-9.9,Volts,0.1,-0.1,,0.00192419437
3,V Force@MsrVFrc:-8,Volts,0.1,-0.1,,0.00177792128
4,V Force@MsrVFrc:-6,Volts,0.1,-0.1,,0.00162144761
5,V Force@MsrVFrc:-4,Volts,0.1,-0.1,,0.00188078855
6,V Force@MsrVFrc:-2,Volts,0.1,-0.1,,0.00179528365
7,V Force@MsrVFrc:0,Volts,0.1,-0.1,,0.00165373322
8,V Force@MsrVFrc:2,Volts,0.1,-0.1,,0.00176196563
9,V Force@MsrVFrc:4,Volts,0.1,-0.1,,0.00137877966
10,V Force@MsrVFrc:6,Volts,0.1,-0.1,,0.0017536
11,V Force@MsrVFrc:8,Volts,0.1,-0.1,,0.00176107666
12,V Force@MsrVFrc:9.9,Volts,0.1,-0.1,,0.00163431242
13,V Sense@MsrVFrc:-9.9,Volts,0.1,-0.1,,-0.00150724148
14,V Sense@MsrVFrc:-8,Volts,0.1,-0.1,,0.000710555201
15,V Sense@MsrVFrc:-6,Volts,0.1,-0.1,,0.000707408541
16,V Sense@MsrVFrc:-4,Volts,0.1,-0.1,,0.000182346039
17,V Sense@MsrVFrc:-2,Volts,0.1,-0.1,,-0.000603674382
18,V Sense@MsrVFrc:0,Volts,0.1,-0.1,,-0.00126177425
19,V Sense@MsrVFrc:2,Volts,0.1,-0.1,,-0.00194034141
20,V Sense@MsrVFrc:4,Volts,0.1,-0.1,,0.00190606765
21,V Sense@MsrVFrc:6,Volts,0.1,-0.1,,0.00111493041
22,V Sense@MsrVFrc:8,Volts,0.1,-0.1,,-1.22114765e-05
23,V Sense@MsrVFrc:9.9,Volts,0.1,-0.1,,-0.00373163388
24,200u i Sense Offset,Amps,2e-07,-2e-07,,1.09097281e-08
25,20u i Sense Offset,Amps,5e-08,-5e-08,,-5.33916159e-09
26,2m i Sense Offset,Amps,2e-06,-2e-06,,2.1171001e-09
27,2u i Sense Offset,Amps,5e-08,-5e-08,,6.60355214e-09
28,20u i Force@MsrIFrc:0,Amps,5.3e-06,-5.3e-06,,1.70306596e-06
29,20u i Force@MsrIFrc:5 u,Amps,5.3e-06,-5.3e-06,,1.74207813e-06
30,20u i Force@MsrIFrc:10 u,Amps,5.3e-06,-5.3e-06,,1.82342347e-06
31,20u i Sense@MsrIFrc:0,Amps,4.4e-07,-4.4e-07,,4.35475061e-08
32,20u i Sense@MsrIFrc:5 u,Amps,4.4e-07,-4.4e-07,,2.76188802e-08
33,20u i Sense@MsrIFrc:10 u,Amps,4.4e-07,-4.4e-07,,3.14959983e-08
34,20u i Sense vs Force@MsrIFrc:0,Amps,5.1e-06,-5.1e-06,,1.74661347e-06
35,20u i Sense vs Force@MsrIFrc:5 u,Amps,5.1e-06,-5.1e-06,,1.76969701e-06
36,20u i Sense vs Force@MsrIFrc:10 u,Amps,5.1e-06,-5.1e-06,,1.85491947e-06
37,200u i Force@MsrIFrc:0,Amps,6.4e-06,-6.4e-06,,1.75956917e-06
38,200u i Force@MsrIFrc:50 u,Amps,6.4e-06,-6.4e-06,,-4.7365434e-07
39,200u i Force@MsrIFrc:100 u,Amps,6.4e-06,-6.4e-06,,-3.55597162e-07
40,200u i Sense@MsrIFrc:0,Amps,1.7e-06,-1.7e-06,,1.62257835e-06
41,200u i Sense@MsrIFrc:50 u,Amps,1.7e-06,-1.7e-06,,-5.31554443e-07
42,200u i Sense@MsrIFrc:100 u,Amps,1.7e-06,-1.7e-06,,-3.46617355e-07
43,200u i Sense vs Force@MsrIFrc:0,Amps,5.7e-06,-5.7e-06,,1.36990818e-07
44,200u i Sense vs Force@MsrIFrc:50 u,Amps,5.7e-06,-5.7e-06,,5.79001033e-08
45,200u i Sense vs Force@MsrIFrc:100 u,Amps,5.7e-06,-5.7e-06,,-8.97980685e-09
46,2m i Force@MsrIFrc:0,Amps,2.7e-05,-2.7e-05,,1.79638182e-06
47,2m i Force@MsrIFrc:500 u,Amps,2.7e-05,-2.7e-05,,2.43660184e-07
48,2m i Force@MsrIFrc:1000 u,Amps,2.7e-05,-2.7e-05,,-1.54280752e-06
49,2m i Sense@MsrIFrc:0,Amps,9.4e-06,-9.4e-06,,4.91590074e-07
50,2m i Sense@MsrIFrc:500 u,Amps,9.4e-06,-9.4e-06,,-1.49225739e-07
51,2m i Sense@MsrIFrc:1000 u,Amps,9.4e-06,-9.4e-06,,-1.0817004e-06
52,2m i Sense vs Force@MsrIFrc:0,Amps,2.6e-05,-2.6e-05,,1.30479175e-06
53,2m i Sense vs Force@MsrIFrc:500 u,Amps,2.6e-05,-2.6e-05,,3.92885923e-07
54,2m i Sense vs Force@MsrIFrc:1000 u,Amps,2.6e-05,-2.6e-05,,-4.61107121e-07
55,200u Low i Sense Offs,Amps,1e-07,-1e-07,,1.68483137e-09
56,20u Low i Sense Offset,Amps,5e-08,-5e-08,,3.38658015e-09
57,2m Low i Sense Offset,Amps,5e-07,-5e-07,,1.09731428e-09
58,2u Low i Sense Offset,Amps,5e-09,-5e-09,,1.23357896e-09
59,200u Low i Sense@MsrVFrc:0,Amps,1.7e-06,-1.7e-06,,4.42106101e-08
60,200u Low i Sense@MsrVFrc:0.05,Amps,1.7e-06,-1.7e-06,,-1.40161467e-08
61,200u Low i Sense@MsrVFrc:0.1,Amps,1.7e-06,-1.7e-06,,-9.14382941e-08
62,2m Low i Sense@MsrVFrc:0,Amps,9.4e-06,-9.4e-06,,1.34936163e-07
63,2m Low i Sense@MsrVFrc:0.5,Amps,9.4e-06,-9.4e-06,,-4.44958704e-07
64,2m Low i Sense@MsrVFrc:1,Amps,9.4e-06,-9.4e-06,,-1.06445119e-06
