,,,,,Name,GEJRNEYA-RI8586A_Src_(Lin)_(vsFreq)(vsPset)_Validate_2021-10-05T14-15-39
Result Number,Result Name,Units,U Limit,L Limit
1,Check Connection,db,,,,20.014
2,Check Connection (+20),dbm,,,,39.996
3,Check Connection (-20),dbm,,,,-19.982
4,Pout Error (Abs)(Avg)@Frq3:20,db,,,,-0.0294125
5,Pout Error (Abs)(Avg)@Frq3:30,db,,,,-0.019125
6,Pout Error (Abs)(Avg)@Frq3:40,db,,,,-0.0226875
7,Pout Error (Abs)(Avg)@Frq3:50,db,,,,-0.0239125
8,Pout Error (Abs)(Avg)@Frq3:60,db,,,,-0.029125
9,Pout Error (Abs)(Avg)@Frq3:70,db,,,,-0.030225
10,Pout Error (Abs)(Avg)@Frq3:80,db,,,,-0.0320375
11,Pout Error (Abs)(Avg)@Frq3:90,db,,,,-0.0291
12,Pout Error (Abs)(Avg)@Frq3:99.999,db,,,,-0.028025
13,Pout Error (Abs)(Avg)@Frq3:100,db,,,,-0.0382375
14,Pout Error (Abs)(Avg)@Frq3:440.5,db,,,,-0.0307375
15,Pout Error (Abs)(Avg)@Frq3:440.501,db,,,,-0.0298375
16,Pout Error (Abs)(Avg)@Frq3:580.5,db,,,,-0.025125
17,Pout Error (Abs)(Avg)@Frq3:580.501,db,,,,-0.026475
18,Pout Error (Abs)(Avg)@Frq3:810.5,db,,,,-0.022475
19,Pout Error (Abs)(Avg)@Frq3:810.501,db,,,,-0.0225
20,Pout Error (Abs)(Avg)@Frq3:1000,db,,,,-0.00865
21,Pout Error (Abs)(Avg)@Frq3:1140.5,db,,,,-0.012625
22,Pout Error (Abs)(Avg)@Frq3:1140.501,db,,,,-0.0165875
23,Pout Error (Abs)(Avg)@Frq3:1640.5,db,,,,-0.0207125
24,Pout Error (Abs)(Avg)@Frq3:1640.501,db,,,,-0.0200875
25,Pout Error (Abs)(Avg)@Frq3:2000,db,,,,-0.011275
26,Pout Error (Abs)(Avg)@Frq3:2340.5,db,,,,-0.0052875
27,Pout Error (Abs)(Avg)@Frq3:2340.501,db,,,,-0.0103375
28,Pout Error (Abs)(Avg)@Frq3:3000,db,,,,-0.0111375
29,Pout Error (Abs)(Avg)@Frq3:3740.5,db,,,,0.0023875
30,Pout Error (Abs)(Avg)@Frq3:3740.501,db,,,,-0.0040875
31,Pout Error (Abs)(Avg)@Frq3:4000,db,,,,-0.014075
32,Pout Error (Abs)(Avg)@Frq3:5000,db,,,,0.0011625
33,Pout Error (Abs)(Avg)@Frq3:5540.5,db,,,,-0.0125875
34,Pout Error (Abs)(Avg)@Frq3:5540.501,db,,,,-0.0105
35,Pout Error (Abs)(Avg)@Frq3:5999.999,db,,,,0.00615
36,Pout Error (Abs)(Avg)@Frq3:6000,db,,,,-0.0047125
37,Pout Error (Abs)(Avg)@Frq3:7000,db,,,,-0.0123875
38,Pout Error (Abs)(Avg)@Frq3:8000,db,,,,-0.009575
39,Pout Error (Abs)(Avg)@Frq3:8999.999,db,,,,-0.0040625
40,Pout Error (Abs)(Avg)@Frq3:9000,db,,,,-0.0066
41,Pout Error (Abs)(Avg)@Frq3:10000,db,,,,-0.0006375
42,Pout Error (Abs)(Avg)@Frq3:11000,db,,,,-0.0429
43,Pout Error (Abs)(Avg)@Frq3:11999.999,db,,,,0.001925
44,Pout Error (Abs)(Avg)@Frq3:12000,db,,,,5e-05
45,Pout Error (Abs)(Avg)@Frq3:13000,db,,,,-0.016675
46,Pout Error (Abs)(Avg)@Frq3:14000,db,,,,-0.0102875
47,Pout Error (Abs)(Avg)@Frq3:15000,db,,,,-0.016575
48,Pout Error (Abs)(Avg)@Frq3:16000,db,,,,-0.0172875
49,Pout Error (Abs)(Avg)@Frq3:17000,db,,,,-0.011875
50,Pout Error (Abs)(Avg)@Frq3:17999.999,db,,,,-0.0089875
51,Pout Error (Abs)(Avg)@Frq3:18000,db,,,,-0.0070875
52,Pout Error (Abs)(Avg)@Frq3:19000,db,,,,-0.0034875
53,Pout Error (Abs)(Avg)@Frq3:20000,db,,,,0.009
54,Pout Error (Abs)(Avg)@Frq3:21000,db,,,,0.0058125
55,Pout Error (Abs)(Avg)@Frq3:22000,db,,,,0.0033
56,Pout Error (Abs)(Avg)@Frq3:23000,db,,,,6.25e-05
57,Pout Error (Abs)(Avg)@Frq3:24000,db,,,,-0.009
58,Pout Error (Avg)@Frq3:20,db,,,,0.0301125
59,Pout Error (Avg)@Frq3:30,db,,,,0.019125
60,Pout Error (Avg)@Frq3:40,db,,,,0.0226875
61,Pout Error (Avg)@Frq3:50,db,,,,0.0239125
62,Pout Error (Avg)@Frq3:60,db,,,,0.029125
63,Pout Error (Avg)@Frq3:70,db,,,,0.030225
64,Pout Error (Avg)@Frq3:80,db,,,,0.0320375
65,Pout Error (Avg)@Frq3:90,db,,,,0.0291
66,Pout Error (Avg)@Frq3:99.999,db,,,,0.028025
67,Pout Error (Avg)@Frq3:100,db,,,,0.0382375
68,Pout Error (Avg)@Frq3:440.5,db,,,,0.0307375
69,Pout Error (Avg)@Frq3:440.501,db,,,,0.0298375
70,Pout Error (Avg)@Frq3:580.5,db,,,,0.025125
71,Pout Error (Avg)@Frq3:580.501,db,,,,0.026475
72,Pout Error (Avg)@Frq3:810.5,db,,,,0.022475
73,Pout Error (Avg)@Frq3:810.501,db,,,,0.0225
74,Pout Error (Avg)@Frq3:1000,db,,,,0.0094
